Year,Game,Screenshot,Palette
2025,Hitman: Absolution,screenshots\nyww4rrlbin9wuy5xyzj.jpg,"[(220, 221, 210), (49, 51, 74), (142, 140, 135), (166, 177, 184), (110, 121, 131), (98, 97, 102), (146, 159, 183), (100, 106, 133), (184, 116, 132)]"
2025,Hitman: Absolution,screenshots\fydrtf3mlw6ybwhycniu.jpg,"[(186, 159, 155), (22, 20, 40), (98, 64, 72), (74, 87, 121), (124, 146, 159), (35, 44, 84), (145, 67, 60), (113, 123, 158), (68, 85, 98)]"
2025,Hitman: Absolution,screenshots\vmbfziice77e06ezdfxv.jpg,"[(190, 187, 191), (12, 14, 21), (100, 104, 120), (117, 130, 156), (125, 158, 183), (43, 51, 71), (71, 87, 106), (61, 72, 94), (152, 92, 100)]"
2025,Hitman: Absolution,screenshots\ommkkrl6pypqe0uc8yqb.jpg,"[(203, 201, 191), (22, 27, 49), (119, 117, 122), (76, 78, 89), (140, 164, 155), (83, 85, 111), (87, 104, 107), (142, 142, 166), (161, 108, 122)]"
2025,Hitman: Absolution,screenshots\ykumi4afbvbwcesvk3f8.jpg,"[(191, 195, 203), (12, 14, 38), (77, 89, 123), (124, 144, 166), (106, 124, 161), (35, 43, 85), (164, 58, 103), (91, 47, 87), (62, 76, 96)]"
2025,Apache,screenshots\scz6ax.jpg,"[(8, 12, 13), (205, 192, 169), (103, 133, 137), (212, 164, 103), (86, 80, 77), (216, 224, 228), (179, 121, 52), (138, 130, 130), (36, 136, 134)]"
2025,Apache,screenshots\scz6az.jpg,"[(6, 9, 9), (214, 191, 154), (207, 219, 225), (62, 176, 242), (116, 141, 143), (181, 123, 54), (119, 83, 54), (213, 159, 90), (158, 126, 104)]"
2025,Apache,screenshots\scz6aq.jpg,"[(141, 206, 242), (132, 139, 87), (10, 14, 10), (108, 114, 91), (186, 171, 112), (78, 79, 81), (114, 137, 150), (69, 69, 63), (54, 57, 54)]"
2025,Apache,screenshots\scz6bg.jpg,"[(90, 138, 85), (65, 180, 250), (196, 234, 249), (10, 10, 10), (149, 210, 250), (54, 86, 48), (12, 90, 128), (4, 54, 100), (76, 60, 68)]"
2025,Apache,screenshots\scz6b5.jpg,"[(5, 6, 5), (166, 159, 102), (169, 220, 248), (60, 179, 251), (97, 116, 66), (77, 73, 30), (184, 196, 154), (125, 121, 60), (212, 188, 140)]"
2025,Virtua Fighter 2,screenshots\hf5ezt8b2pq6nislh1xb.jpg,"[(151, 131, 98), (23, 29, 20), (75, 39, 16), (85, 72, 51), (198, 171, 130), (102, 82, 57), (86, 64, 31), (185, 182, 183), (185, 180, 132)]"
2025,Virtua Fighter 2,screenshots\hauceei2rkcvmhhq54cz.jpg,"[(228, 222, 218), (229, 30, 29), (239, 158, 31), (21, 18, 17), (186, 138, 110), (45, 45, 95), (146, 138, 153), (25, 24, 173), (92, 116, 76)]"
2025,Virtua Fighter 2,screenshots\scpuq2.jpg,"[(201, 170, 120), (111, 85, 41), (9, 7, 5), (18, 91, 196), (132, 155, 152), (59, 43, 15), (166, 66, 22), (73, 76, 26), (21, 30, 98)]"
2025,Virtua Fighter 2,screenshots\scpuq3.jpg,"[(24, 19, 26), (231, 223, 211), (153, 25, 17), (208, 128, 39), (140, 140, 172), (105, 101, 130), (237, 164, 109), (165, 156, 185), (21, 165, 163)]"
2025,Virtua Fighter 2,screenshots\scpuq4.jpg,"[(198, 145, 69), (38, 31, 10), (134, 99, 41), (240, 37, 53), (94, 66, 20), (55, 110, 54), (103, 74, 79), (88, 186, 42), (144, 133, 143)]"
2025,Cyberpunk 2077,screenshots\ubbe5gewccx5ig3xy30t.jpg,"[(182, 117, 121), (20, 28, 24), (55, 163, 149), (48, 112, 106), (196, 215, 189), (24, 68, 62), (60, 134, 141), (97, 62, 59), (24, 80, 86)]"
2025,Cyberpunk 2077,screenshots\c7usjg7gpo8rs0bfjkph.jpg,"[(194, 187, 182), (34, 32, 32), (117, 106, 106), (78, 66, 64), (89, 102, 110), (82, 88, 104), (108, 122, 175), (138, 165, 199), (156, 92, 60)]"
2025,Cyberpunk 2077,screenshots\vnv5cd9kvonsjvazpotx.jpg,"[(181, 180, 149), (16, 23, 18), (90, 158, 148), (103, 100, 79), (31, 96, 96), (20, 58, 58), (10, 69, 89), (59, 56, 44), (71, 111, 148)]"
2025,Cyberpunk 2077,screenshots\w4plqrhe04byymfksmux.jpg,"[(199, 192, 177), (39, 46, 48), (140, 132, 117), (152, 173, 164), (89, 117, 114), (92, 85, 81), (69, 95, 110), (136, 152, 165), (172, 100, 86)]"
