Year,Decade,Game,Screenshot,Genres,Themes,Keywords,Player Perspectives,Developers,C1_R,C1_G,C1_B,C2_R,C2_G,C2_B,C3_R,C3_G,C3_B,C4_R,C4_G,C4_B,C5_R,C5_G,C5_B
1952,1950,OXO,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc5s18.jpg,Puzzle|Strategy,Educational,baseball|pinball|abstract|developed by one person,Side view,"Alexander Shafto ""Sandy"" Douglas|University of Warwick",0,0,0,50,50,50,70,70,70,100,100,100,150,150,150
1952,1950,OXO,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sccq9q.jpg,Puzzle|Strategy,Educational,baseball|pinball|abstract|developed by one person,Side view,"Alexander Shafto ""Sandy"" Douglas|University of Warwick",130,130,130,260,260,260,0,0,0,70,70,70,190,190,190
1952,1950,OXO,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sccq9r.jpg,Puzzle|Strategy,Educational,baseball|pinball|abstract|developed by one person,Side view,"Alexander Shafto ""Sandy"" Douglas|University of Warwick",130,130,130,260,260,260,0,0,0,70,70,70,190,190,190
1952,1950,Draughts,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\schxvv.jpg,Card & Board Game,,checkers,Bird view / Isometric,Christopher Strachey,100,100,100,40,40,40,0,0,0,260,260,260,,,
1954,1950,Pool,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scky4m.jpg,Sport,,pool|billiards,Bird view / Isometric,,170,170,170,260,260,260,0,0,0,110,110,110,60,60,60
1954,1950,Pool,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scky4k.jpg,Sport,,pool|billiards,Bird view / Isometric,,260,260,260,0,0,0,90,90,90,160,160,160,60,60,60
1954,1950,Pool,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scky4l.jpg,Sport,,pool|billiards,Bird view / Isometric,,260,260,260,0,0,0,50,50,50,100,100,100,150,150,150
1958,1950,Tennis for Two,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc6v14.jpg,Sport|Arcade,Action,tennis|developed by one person|single-screen level|no hud|never-ending,Side view,William Higinbotham,160,140,130,0,0,0,100,90,90,70,60,60,110,140,160
1958,1950,Tennis for Two,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc6v13.jpg,Sport|Arcade,Action,tennis|developed by one person|single-screen level|no hud|never-ending,Side view,William Higinbotham,0,0,0,180,180,160,100,100,100,140,140,120,60,60,60
1958,1950,Tennis for Two,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc6v15.jpg,Sport|Arcade,Action,tennis|developed by one person|single-screen level|no hud|never-ending,Side view,William Higinbotham,130,130,130,200,200,200,0,0,0,50,50,50,80,80,80
1962,1960,Spacewar!,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc6v18.jpg,Shooter|Simulator,Action|Science fiction,vehicular combat|gravity|death|spaceship|war|vehicle combat|single-screen level|duel,Bird view / Isometric,"Steve Russel|Computer Recreations, Inc.",80,100,130,40,50,60,0,0,0,60,80,90,,,
1962,1960,Spacewar!,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc6v16.jpg,Shooter|Simulator,Action|Science fiction,vehicular combat|gravity|death|spaceship|war|vehicle combat|single-screen level|duel,Bird view / Isometric,"Steve Russel|Computer Recreations, Inc.",40,40,40,0,0,0,60,60,60,90,90,90,,,
1962,1960,Spacewar!,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc6v17.jpg,Shooter|Simulator,Action|Science fiction,vehicular combat|gravity|death|spaceship|war|vehicle combat|single-screen level|duel,Bird view / Isometric,"Steve Russel|Computer Recreations, Inc.",0,0,0,60,70,80,90,110,130,70,90,100,,,
1964,1960,The Sumerian Game,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scng4u.jpg,Strategy,Historical,god game|resource management|prehistoric|city builder|developed by one person|based on - true story|ibm 7090,Text,Mabel Addis,220,220,220,200,200,200,260,260,260,170,170,170,,,
1965,1960,Dartmouth Championship Football,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc100hf.jpg,Simulator|Sport,,american football|nfl,Text,,40,40,40,0,0,0,80,80,80,60,60,60,,,
1965,1960,Dartmouth Championship Football,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc100hg.jpg,Simulator|Sport,,american football|nfl,Text,,70,70,70,40,40,40,0,0,0,60,60,60,,,
1965,1960,Dartmouth Championship Football,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc100hh.jpg,Simulator|Sport,,american football|nfl,Text,,70,70,70,50,50,50,0,0,0,40,40,40,,,
1967,1960,Batnum,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc11jsq.jpg,Puzzle,Non-fiction,numbers,Text,,240,240,110,250,250,0,260,260,260,80,80,80,,,
1967,1960,Batnum,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc11jsp.jpg,Puzzle,Non-fiction,numbers,Text,,240,240,110,250,250,0,260,260,260,80,80,80,,,
1967,1960,PDP 10 Timesharing Basketball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc11lss.jpg,Sport,Non-fiction,basketball|text-based,Text,,40,40,40,0,0,0,60,60,60,,,,,,
