Unique_ID,Manual_Art_Style
draughts (1952) [christopher strachey],Abstraction: Minimalist
pool (1954) [unknown],Abstraction: Minimalist
tennis for two (1958) [william higinbotham],Abstraction: Minimalist
the sumerian game (1964) [mabel addis],Abstraction: Symbolic
dartmouth championship football (1965) [unknown],Abstraction: Symbolic
pdp 10 timesharing basketball (1967) [unknown],Abstraction: Symbolic
qubic (1968) [unknown],Abstraction: Symbolic
space travel (1969) [unknown],Abstraction: Symbolic
highnoon (1970) [chris gaylo],Abstraction: Symbolic
star trek (1971) [mike mayfield],Abstraction: Symbolic
analogic (1972) [magnavox],Abstraction: Minimalist
percepts (1972) [magnavox],Abstraction: Minimalist
gotcha (1973) [atari],Abstraction: Minimalist
qwak! (1974) [atari],Stylization: Cartoon
orthanc (1975) [eric hagstrom],Abstraction: Symbolic
bigfoot bonkers (1976) [ea],Stylization: Pixel Art
videocart-12: baseball (1977) [fairchild semiconductor],Abstraction: Symbolic
computer golf (1978) [magnavox],Abstraction: Minimalist
motocross (1979) [interton],Stylization: Pixel Art
carnival (1980) [sega],Stylization: Pixel Art
moon war (1981) [stern],Stylization: Pixel Art
marauder (1982) [on-line systems],Stylization: Pixel Art
cyberworld (1983) [unknown],Stylization: Pixel Art
frogger (1984) [the cornsoft group],Stylization: Pixel Art
field combat (1985) [jaleco],Stylization: Pixel Art
ace of aces (1986) [artech studios],Stylization: Pixel Art
soccer manager (1987) [patrick berry],Abstraction: Symbolic
genji: time suspense adventure (1988) [hot-b],Stylization: Pixel Art
"blue angels: formation flight simulation (1989) [""artech digital entertainments, inc.""],Stylization: Pixel Art"
kiki kaikai (1990) [unknown],Stylization: Pixel Art
asmik-kun land (1991) [ea],Stylization: Pixel Art
bionic commando (1992) [minakuchi engineering],Stylization: Pixel Art
skunny: lost in space (1993) [copysoft],Stylization: Pixel Art
slam city with scottie pippen (1994) [digital pictures],Realism: Stylized
puyo puyo (1994) [compile],Stylization: Pixel Art
ultimate mortal kombat 3 (1995) [midway],Realism: Stylized
jungle park (1996) [saru brunei],Stylization: Cartoon
koi no summer fantasy: in miyazaki seagaia (1997) [japan system supply],Realism: Photoreal
alpha betty and friends (1998) [micrograms software],Stylization: Cartoon
frogger (1999) [tiger electronics],Stylization: Pixel Art
